This table shows Bachelor's master's and doctor's degrees conferred by postsecondary institutions by sex of student and discipline division: 2017-18,,,,,
Discipline division,Bachelor's degrees,Master's degrees,Doctor's degrees,
ID,Majors              ,Males,Females,Males,Females,Males,Females
3201, Agriculture general, 2194, 301, 14
3202, Agricultural business and management general, 1124, 66, 1
3203, Agribusiness/agricultural business operations, 2195, 43, 0
3204, Agricultural economics, 1531, 336, 131
3205, Farm/farm and ranch management, 171, 6, 0
3206, Agricultural/farm supplies retailing and wholesaling, 1, 0, 0
3207, Agricultural business technology, 36, 2, 0
3208, Agricultural business and management, 81, 8, 0
3209, Agricultural mechanization, 336, 1, 0
3210, Agricultural mechanics and equipment/machine technology, 0, 0, 0
3211, Agricultural production operations, 81, 7, 0
3212, Animal/livestock husbandry and production, 193, 1, 0
3213, Aquaculture, 58, 41, 12
3214, Crop production, 75, 0, 0
3215, Dairy husbandry and production, 2, 0, 0
3216, Horse husbandry/equine science and management, 159, 7, 0
3217, Agroecology and sustainable agriculture, 211, 73, 13
3218, Viticulture and enology, 132, 0, 0
3219, Agricultural and food products processing, 103, 0, 0
3220, Animal training, 23, 0, 0
3221, Equestrian/equine studies, 302, 0, 0
3222, Agricultural and domestic animal services other, 1, 0, 0
3223, Applied horticulture/horticultural operations general, 87, 7, 5
3224, Ornamental horticulture, 28, 6, 6
3225, Landscaping and groundskeeping, 132, 2, 0
3226, Plant nursery operations and management, 2, 0, 0
3227, Turf and turfgrass management, 94, 4, 0
3228, Floriculture/floristry operations and management, 1, 0, 0
3229, Applied horticulture/horticultural business services other, 32, 0, 0
3230, International agriculture, 54, 54, 0
3231, Agricultural and extension education services, 67, 94, 15
3232, Agricultural communication/journalism, 422, 27, 0
3233, Agricultural public services other, 53, 5, 0
